127.0.0.1 - - [01/Feb/2014:21:12:09 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [01/Feb/2014:21:12:12 +0800] "GET /webDemo2/js2.jsp HTTP/1.1" 200 1228
0:0:0:0:0:0:0:1 - - [01/Feb/2014:21:13:08 +0800] "GET /webDemo2/js2.jsp HTTP/1.1" 200 1211
0:0:0:0:0:0:0:1 - - [01/Feb/2014:21:13:39 +0800] "GET /webDemo2/js2.jsp HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [01/Feb/2014:21:13:44 +0800] "GET /webDemo2/quanxuan.jsp HTTP/1.1" 200 1211
0:0:0:0:0:0:0:1 - - [01/Feb/2014:21:18:19 +0800] "GET /webDemo2/js1.jsp HTTP/1.1" 200 1780
0:0:0:0:0:0:0:1 - - [01/Feb/2014:21:18:38 +0800] "GET /webDemo2/yanzheng?username=123&password=123456&repassword=123456 HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [01/Feb/2014:21:18:48 +0800] "GET /webDemo2/yanzheng?username=123&password=123123&repassword=123123 HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [01/Feb/2014:21:18:54 +0800] "GET /webDemo2/yanzheng?username=123&password=111111&repassword=111111 HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [01/Feb/2014:21:21:10 +0800] "GET /webDemo2/js1.jsp HTTP/1.1" 200 1771
0:0:0:0:0:0:0:1 - - [01/Feb/2014:21:21:11 +0800] "GET /webDemo2/js1.jsp HTTP/1.1" 200 1771
0:0:0:0:0:0:0:1 - - [01/Feb/2014:21:21:11 +0800] "GET /webDemo2/js1.jsp HTTP/1.1" 200 1771
0:0:0:0:0:0:0:1 - - [01/Feb/2014:21:21:12 +0800] "GET /webDemo2/js1.jsp?username=&password=&repassword= HTTP/1.1" 200 1771
0:0:0:0:0:0:0:1 - - [01/Feb/2014:21:21:13 +0800] "GET /webDemo2/js1.jsp?username=&password=&repassword= HTTP/1.1" 200 1771
0:0:0:0:0:0:0:1 - - [01/Feb/2014:21:21:14 +0800] "GET /webDemo2/js1.jsp?username=&password=&repassword= HTTP/1.1" 200 1771
0:0:0:0:0:0:0:1 - - [01/Feb/2014:21:21:16 +0800] "GET /webDemo2/js1.jsp?username=123&password=&repassword= HTTP/1.1" 200 1771
0:0:0:0:0:0:0:1 - - [01/Feb/2014:21:21:34 +0800] "GET /webDemo2/js1.jsp?username=123&password=&repassword= HTTP/1.1" 200 1763
